input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
"#### = IV [Franz. Revolution]",JJJJ = IV [Franz. Revolution],1796 = IV [Franz. Revolution],1796 = IV [Franz. Revolution],"####",JJJJ,1796,1796-01-01/1796-12-31
"#### = X [Franz. Revolution]",JJJJ = X [Franz. Revolution],1802 = X [Franz. Revolution],1802 = X [Franz. Revolution],"####",JJJJ,1802,1802-01-01/1802-12-31
"#### ca.",JJJJ ca.,1490 ca.,1490 ca.,ca. ####,ca. JJJJ,ca. 1490,1485-01-01/1495-12-31
"#### ff.",JJJJ ff.,1986 ff.,1986 ff.,nach ####,nach JJJJ,nach 1986,1986-01-01/2011-12-31
"#### MM",JJJJ MM,1031 September,1031 MM,"####-##",JJJJ-MM,1031-09,1031-09-01/1031-09-30
"#### MM #",JJJJ MM T,1019 Juli 1,1019 MM 1,"####-##-0#",JJJJ-MM-0T,1019-07-01,1019-07-01/1019-07-01
"#### MM # / #### MM ##",JJJJ MM T / ZZZZ YY XX,1607 Mai 5 / 1607 Mai 15,1607 MM 5 / 1607 MM 15,"####-##-0#,####-##-##","JJJJ-MM-0T,ZZZZ-YY-XX","1607-05-05,1607-05-15",
"#### MM ##",JJJJ MM TT,1012 Dezember 16,1012 MM 16,"####-##-##",JJJJ-MM-TT,1012-12-16,1012-12-16/1012-12-16
"#### MM ## / ##",JJJJ MM TT / ZZ,1708 Januar 18 / 26,1708 MM 18 / 26,"####-##-##,####-##-##","JJJJ-MM-TT,JJJJ-MM-ZZ","1708-01-18,1708-01-26",
"#### nachgewiesen",JJJJ nachgewiesen,1805 nachgewiesen,1805 nachgewiesen,"####",JJJJ,1805,1805-01-01/1805-12-31
"#### u. ff.",JJJJ u. ff.,1852 u. ff.,1852 u. ff.,nach ####,nach JJJJ,nach 1852,1852-01-01/1877-12-31
"#### u.####",JJJJ u.ZZZZ,1978 u.1981,1978 u.1981,"####,####","JJJJ,ZZZZ","1978,1981",
"####-##",JJJJ-ZZ,1948-07,1948-07,"####",JJJJ,1948,1948-01-01/1948-12-31
"####-##-##",JJJJ-MM-TT,1812-07-06,1812-07-06,"####-##-##",JJJJ-MM-TT,1812-07-06,1812-07-06/1812-07-06
"####-#### (####-####)",JJJJ-ZZZZ (NNNN-OOOO),1750-1765 (1750-1765),1750-1765 (1750-1765),"####/####",JJJJ/ZZZZ,1750/1765,1750-01-01/1765-12-31
"####-#### (##.me)",JJJJ-ZZZZ (NN.me),1740-1760 (18.me),1740-1760 (18.me),"####/####",JJJJ/ZZZZ,1740/1760,1740-01-01/1760-12-31
"####-##-##/####-##-##",JJJJ-MM-TT/ZZZZ-YY-XX,1655-04-28/1658-07-17,1655-04-28/1658-07-17,"####-##-##/####-##-##",JJJJ-MM-TT/ZZZZ-YY-XX,1655-04-28/1658-07-17,1655-04-28/1658-07-17
"####-##-##T##:##:##+##:##",JJJJ-MM-TTTHH:NN:SS+OO:PP,2001-04-04T15:45:00+01:00,2001-04-04T15:45:00+01:00,"####-##-##",JJJJ-MM-TT,2001-04-04,2001-04-04/2001-04-04
"####-##-00",JJJJ-MM-00,2012-01-00,2012-01-00,"####-##",JJJJ-MM,2012-01,2012-01-01/2012-01-31
"####(####) -",JJJJ(ZZZZ) -,2003(2004) -,2003(2004) -,ab ####,ab JJJJ,ab 2003,2003-01-01/2004-12-31
"####(####) - ####(####)",JJJJ(ZZZZ) - XXXX(YYYY),2003(2004) - 2004(2005),2003(2004) - 2004(2005),"####/####",JJJJ/XXXX,2003/2004,2003-01-01/2004-12-31
"####)",JJJJ),1938),1938),"####",JJJJ,1938,1938-01-01/1938-12-31
"####, ####","JJJJ, ZZZZ","1684, 1750","1684, 1750","####,####","JJJJ,ZZZZ","1684,1750",
